Date,CITI Close,TD Close,BOA Close
5/9/2016,43.889999,28.48,13.99
5/6/2016,44.41,28.4,14.11
5/5/2016,44.23,28.799999,14.05
5/4/2016,44.66,28.809999,14.13
5/3/2016,45.57,29.290001,14.36
5/2/2016,46.68,30,14.77
4/29/2016,46.279999,29.83,14.56
4/28/2016,46.73,30.52,14.79
4/27/2016,47.330002,31.639999,15.02
4/26/2016,47.099998,31.98,15.09
4/25/2016,46.689999,31.76,14.96
4/22/2016,46.970001,31.76,15.11
4/21/2016,46.599998,31.299999,14.9
4/20/2016,46.740002,31.049999,14.93
4/19/2016,45.630001,30.98,14.45
4/18/2016,45.110001,31.65,14.17
4/15/2016,44.919998,31.700001,14
4/14/2016,44.98,32.32,14.14
4/13/2016,44.25,32.400002,13.79
4/12/2016,41.900002,31,13.27
4/11/2016,41.119999,30.530001,12.97
4/8/2016,40.470001,29.879999,12.88
4/7/2016,40.27,29.879999,12.85
4/6/2016,41.860001,31.549999,13.27
4/5/2016,41.509998,31.200001,13.19
4/4/2016,42.060001,31.639999,13.51
4/1/2016,42.470001,32.25,13.56
3/31/2016,41.75,31.530001,13.52
3/30/2016,41.880001,31.620001,13.48
3/29/2016,41.720001,31.139999,13.42
3/28/2016,41.919998,31.08,13.62
3/24/2016,41.939999,31.18,13.68
3/23/2016,42.369999,31.27,13.62
3/22/2016,43.380001,31.59,13.76
3/21/2016,43.599998,31.52,13.84
3/18/2016,43.540001,31.690001,13.79
3/17/2016,42.849998,31.049999,13.4
3/16/2016,42.23,30.42,13.31
3/15/2016,42.59,31.16,13.57
3/14/2016,42.669998,31.52,13.64
3/11/2016,42.990002,31.93,13.79
3/10/2016,41.369999,30.65,13.27
3/9/2016,41.150002,30.280001,13.14
3/8/2016,41.049999,30.35,13.06
3/7/2016,42.610001,31.51,13.53
3/4/2016,42.830002,31.049999,13.54
3/3/2016,42.830002,31.040001,13.5
3/2/2016,42.220001,30.549999,13.41
3/1/2016,41.27,30.040001,13.19
2/29/2016,38.849998,28.58,12.52
2/26/2016,39.5,29.17,12.7
2/25/2016,38.619999,28.299999,12.32
2/24/2016,38.09,27.799999,12.13
2/23/2016,38.220001,27.790001,12.16
2/22/2016,39.52,28.049999,12.54
2/19/2016,38.990002,27.889999,12.13
2/18/2016,38.919998,27.67,12.24
2/17/2016,39.779999,27.860001,12.56
2/16/2016,38.889999,27.07,12.25
2/12/2016,37.540001,26.280001,11.95
2/11/2016,34.98,25.68,11.16
2/10/2016,37.41,26.33,11.98
2/9/2016,37.509998,26.360001,12.2
2/8/2016,37.810001,26.389999,12.27
2/5/2016,39.860001,27.16,12.95
2/4/2016,40.790001,27.08,13.25
2/3/2016,40.360001,26.17,13.03
2/2/2016,40.419998,26.049999,13.23
2/1/2016,42.48,27.530001,13.96
1/29/2016,42.580002,27.58,14.14
1/28/2016,40.389999,27.35,13.53
1/27/2016,40.560001,28.27,13.36
1/26/2016,40.5,28.809999,13.31
1/25/2016,39.549999,28.459999,12.96
1/22/2016,41.060001,29.040001,13.56
1/21/2016,40.150002,27.969999,13.36
1/20/2016,40.490002,28.309999,13.69
1/19/2016,41.939999,28.93,14.24
1/15/2016,42.470001,29.110001,14.46
1/14/2016,45.380001,30.290001,14.99
1/13/2016,45.189999,30.01,14.9
1/12/2016,46.880001,31.110001,15.31
1/11/2016,46.849998,30.67,15.31
1/8/2016,46.130001,31.02,15.2
1/7/2016,47.560001,31.030001,15.5
1/6/2016,50.119999,32.34,16.08
1/5/2016,50.860001,33.41,16.43
1/4/2016,51.130001,33.59,16.43
12/31/2015,51.75,34.709999,16.83
12/30/2015,52.299999,35.16,17.049999
12/29/2015,52.98,35.209999,17.280001
12/28/2015,52.380001,34.959999,17.129999
12/24/2015,52.709999,34.860001,17.27
12/23/2015,52.630001,34.919998,17.34
12/22/2015,52.009998,34.73,17.08
12/21/2015,51.790001,33.970001,16.969999
12/18/2015,51.209999,33.779999,16.76
12/17/2015,52.84,34.830002,17.299999
12/16/2015,53.900002,35.700001,17.75
12/15/2015,52.52,35.470001,17.42
12/14/2015,51.099998,34.290001,16.799999
12/11/2015,51.110001,34.310001,16.73
12/10/2015,52.650002,35.639999,17.200001
12/9/2015,52.810001,35.310001,17.1
12/8/2015,53.389999,36.02,17.190001
12/7/2015,54.400002,36.349998,17.540001
12/4/2015,55.09,36.810001,17.799999
12/3/2015,53.509998,36.009998,17.299999
12/2/2015,54.139999,36.759998,17.620001
12/1/2015,54.880001,36.919998,17.809999
11/30/2015,54.09,36.630001,17.43
11/27/2015,54.209999,36.740002,17.48
11/25/2015,54.080002,36.540001,17.440001
11/24/2015,54.18,36.34,17.469999
11/23/2015,54.279999,36.57,17.469999
11/20/2015,54.75,36.889999,17.65
11/19/2015,55.060001,36.580002,17.690001
11/18/2015,54.98,36.880001,17.84
11/17/2015,53.490002,36.189999,17.42
11/16/2015,53.689999,36.02,17.43
11/13/2015,53.169998,35.700001,17.200001
11/12/2015,53.459999,36.040001,17.370001
11/11/2015,54.900002,36.75,17.75
11/10/2015,55.799999,36.639999,17.85
11/9/2015,55.709999,36.950001,17.68
11/6/2015,55.869999,37.259998,17.950001
11/5/2015,54.150002,36.209999,17.309999
11/4/2015,53.830002,36.310001,17.01
11/3/2015,54.16,36.130001,17.18
11/2/2015,53.830002,36.119999,17.059999
10/30/2015,53.169998,34.470001,16.780001
10/29/2015,53.66,34.959999,17.09
10/28/2015,54.73,34.889999,17.280001
10/27/2015,52.610001,33.279999,16.4
10/26/2015,53.110001,33.830002,16.51
10/23/2015,53.639999,33.93,16.52
10/22/2015,52.509998,32.959999,16.16
10/21/2015,51.810001,32.259998,15.9
10/20/2015,52.84,32.560001,16.200001
10/19/2015,52.860001,32.200001,16.139999
10/16/2015,52.689999,32.18,16.120001
10/15/2015,52.970001,31.700001,16.190001
10/14/2015,50.720001,31.08,15.64
10/13/2015,51.209999,31.66,15.52
10/12/2015,51.279999,32.080002,15.52
10/9/2015,51.380001,31.870001,15.58
10/8/2015,51.650002,32.150002,15.75
10/7/2015,51.32,32.040001,15.75
10/6/2015,51.060001,31.51,15.69
10/5/2015,51.16,32.09,15.69
10/2/2015,49.880001,31.17,15.38
10/1/2015,49.889999,32.049999,15.55
9/30/2015,49.610001,31.84,15.58
9/29/2015,49,30.99,15.35
9/28/2015,49.029999,30.74,15.47
9/25/2015,50.549999,32.439999,15.89
9/24/2015,49.130001,31.73,15.55
9/23/2015,50.119999,32.279999,15.72
9/22/2015,50.380001,32.200001,15.57
9/21/2015,50.709999,32.700001,15.7
9/18/2015,50.290001,32.23,15.56
9/17/2015,51.650002,33.380001,15.86
9/16/2015,52.59,34.619999,16.33
9/15/2015,52,34.16,16.309999
9/14/2015,50.98,33.52,15.96
9/11/2015,51.099998,33.84,16.040001
9/10/2015,51.07,33.75,16.040001
9/9/2015,50.880001,33.400002,15.9
9/8/2015,51.650002,33.830002,16.16
9/4/2015,50.59,32.389999,15.65
9/3/2015,51.790001,32.709999,15.94
9/2/2015,51.75,32.529999,15.85
9/1/2015,50.939999,32.130001,15.58
8/31/2015,53.48,33.459999,16.34
8/28/2015,53.279999,33.639999,16.360001
8/27/2015,53.439999,33.52,16.440001
8/26/2015,52.279999,32.369999,16.059999
8/25/2015,49.880001,30.82,15.26
8/24/2015,50.34,31.16,15.29
8/21/2015,53.599998,32.790001,16.1
8/20/2015,55.330002,33.93,16.719999
8/19/2015,57,34.93,17.459999
8/18/2015,57.549999,35.720001,17.690001
8/17/2015,57.77,36.220001,17.77
8/14/2015,57.59,36.470001,17.700001
8/13/2015,57.330002,36.150002,17.620001
8/12/2015,56.91,36.27,17.52
8/11/2015,57.639999,36.93,17.790001
8/10/2015,58.740002,37.759998,18.040001
8/7/2015,57.91,37.049999,17.75
8/6/2015,58.099998,37.169998,17.809999
8/5/2015,58.740002,37.470001,17.870001
8/4/2015,58.470001,37.18,17.799999
8/3/2015,58.439999,36.599998,17.77
7/31/2015,58.459999,36.73,17.879999
7/30/2015,58.880001,37.259998,18.129999
7/29/2015,58.919998,36.98,18.16
7/28/2015,58.369999,36.540001,17.879999
7/27/2015,57.959999,36.25,17.67
7/24/2015,58.700001,36.98,17.9
7/23/2015,59.869999,37.209999,18.18
7/22/2015,60.34,37.290001,18.450001
7/21/2015,59.099998,37.73,18.08
7/20/2015,58.849998,38.360001,18.120001
7/17/2015,58.75,38.5,18.1
7/16/2015,58.59,38.34,17.950001
7/15/2015,56.459999,37.450001,17.68
7/14/2015,55.91,37.389999,17.129999
7/13/2015,55.540001,37.169998,17.02
7/10/2015,54.560001,36.740002,16.700001
7/9/2015,53.709999,36.290001,16.48
7/8/2015,52.799999,35.919998,16.25
7/7/2015,54.5,36.650002,16.690001
7/6/2015,55.080002,36.970001,16.940001
7/2/2015,55.369999,37.259998,17.030001
7/1/2015,55.68,37.470001,17.219999
6/30/2015,55.240002,36.82,17.02
6/29/2015,54.880001,36.73,16.889999
6/26/2015,56.34,38.150002,17.41
6/25/2015,56.189999,37.779999,17.370001
6/24/2015,56.66,37.610001,17.49
6/23/2015,57.389999,38.029999,17.67
6/22/2015,56.950001,37.790001,17.469999
6/19/2015,56.23,37.09,17.17
6/18/2015,56.759998,37.400002,17.379999
6/17/2015,56.540001,38.060001,17.370001
6/16/2015,57.07,38.299999,17.549999
6/15/2015,56.650002,38.110001,17.469999
6/12/2015,57.110001,38.32,17.49
6/11/2015,57.209999,38.529999,17.49
6/10/2015,57.02,38.59,17.59
6/9/2015,56,38.400002,17.309999
6/8/2015,55.650002,38.200001,17.08
6/5/2015,56.240002,38.509998,17.190001
6/4/2015,55.330002,37.91,16.780001
6/3/2015,55.630001,38.25,16.93
6/2/2015,54.720001,37.400002,16.719999
6/1/2015,54.450001,36.959999,16.549999
5/29/2015,54.080002,37.150002,16.5
5/28/2015,54.549999,37.610001,16.67
5/27/2015,54.869999,37.560001,16.74
5/26/2015,54.240002,36.93,16.5
5/22/2015,54.970001,37.080002,16.75
5/21/2015,54.84,37.02,16.73
5/20/2015,54.889999,37.27,16.74
5/19/2015,55.330002,37.700001,16.77
5/18/2015,54.669998,37.57,16.51
5/15/2015,54.240002,36.720001,16.35
5/14/2015,54.599998,37.040001,16.52
5/13/2015,54.200001,36.849998,16.469999
5/12/2015,53.740002,36.779999,16.43
5/11/2015,53.970001,37.09,16.49
